No,PREGUNTA ,N° Respuesta,Respuesta,Es correcto,Cargo,Temas,Familia ,Fecha,CARGO 2,CANAL
19,"Pregunta de opción múltiple con única respuesta: Una empresa con múltiples sedes y enlaces WAN no cuenta con herramientas que le permitan monitorear el rendimiento de su red en tiempo real. Esto dificulta la identificación de cuellos de botella, fallas o tráfico no deseado. Se necesita una solución que brinde visibilidad centralizada y análisis inteligente. ¿Qué solución SD-Branch puede resolverlo?",3.0,Solicitar reportes manuales a cada sucursal.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
20,Pregunta de opción múltiple con única respuesta: Una empresa tiene múltiples enlaces WAN pero no los gestiona eficientemente. ¿Qué solución SD-Branch aplica?,1.0,Usar solo el enlace más barato para todas las sedes.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
20,Pregunta de opción múltiple con única respuesta: Una empresa tiene múltiples enlaces WAN pero no los gestiona eficientemente. ¿Qué solución SD-Branch aplica?,2.0,Implementar transporte agnóstico con selección inteligente de rutas. ,VERDADERO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
20,Pregunta de opción múltiple con única respuesta: Una empresa tiene múltiples enlaces WAN pero no los gestiona eficientemente. ¿Qué solución SD-Branch aplica?,3.0,Configurar cada enlace de forma independiente sin políticas.,FALSO,Corporativo,"SD-Branch Cisco (Redes, Seguridad, Automatización)",SD ONE,,Corporativo,Corporativo
1,"Pregunta de opción múltiple con única respuesta. Un consultor comercial se reúne con una empresa del sector construcción que ha mostrado interés en los servicios de conectividad empresarial. Durante la conversación, el cliente comparte información clave sobre sus necesidades, presupuesto estimado y cronograma de decisión. Aunque aún no se ha enviado una propuesta formal, el consultor identifica que existe una oportunidad clara de negocio y decide registrarla en Salesforce para iniciar el seguimiento. ¿Cuál es el estado correcto que el consultor comercial debe seleccionar para reflejar adecuadamente el momento del proceso?",1.0,Calificada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
1,"Pregunta de opción múltiple con única respuesta. Un consultor comercial se reúne con una empresa del sector construcción que ha mostrado interés en los servicios de conectividad empresarial. Durante la conversación, el cliente comparte información clave sobre sus necesidades, presupuesto estimado y cronograma de decisión. Aunque aún no se ha enviado una propuesta formal, el consultor identifica que existe una oportunidad clara de negocio y decide registrarla en Salesforce para iniciar el seguimiento. ¿Cuál es el estado correcto que el consultor comercial debe seleccionar para reflejar adecuadamente el momento del proceso?",2.0,Identificada.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
1,"Pregunta de opción múltiple con única respuesta. Un consultor comercial se reúne con una empresa del sector construcción que ha mostrado interés en los servicios de conectividad empresarial. Durante la conversación, el cliente comparte información clave sobre sus necesidades, presupuesto estimado y cronograma de decisión. Aunque aún no se ha enviado una propuesta formal, el consultor identifica que existe una oportunidad clara de negocio y decide registrarla en Salesforce para iniciar el seguimiento. ¿Cuál es el estado correcto que el consultor comercial debe seleccionar para reflejar adecuadamente el momento del proceso?",3.0,Propuesta enviada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
2,"Pregunta de opción múltiple con única respuesta. Un consultor comercial está gestionando una oportunidad con una empresa del sector logístico interesada en implementar una solución SD-WAN para mejorar la conectividad entre sus sedes. Luego de una reunión inicial, el consultor carga en Salesforce toda la documentación requerida. Posteriormente, el ingeniero preventa revisa la documentación, valida la viabilidad técnica de la solución y confirma que se puede implementar según los requerimientos del cliente. Ahora debe actualizar el estado de la oportunidad en Salesforce para reflejar que la solución ha sido técnicamente aprobada. ¿Cuál es el estado correcto que el ingeniero preventa debe seleccionar en Salesforce?",1.0,Factibilizada.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
2,"Pregunta de opción múltiple con única respuesta. Un consultor comercial está gestionando una oportunidad con una empresa del sector logístico interesada en implementar una solución SD-WAN para mejorar la conectividad entre sus sedes. Luego de una reunión inicial, el consultor carga en Salesforce toda la documentación requerida. Posteriormente, el ingeniero preventa revisa la documentación, valida la viabilidad técnica de la solución y confirma que se puede implementar según los requerimientos del cliente. Ahora debe actualizar el estado de la oportunidad en Salesforce para reflejar que la solución ha sido técnicamente aprobada. ¿Cuál es el estado correcto que el ingeniero preventa debe seleccionar en Salesforce?",2.0,Propuesta enviada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
2,"Pregunta de opción múltiple con única respuesta. Un consultor comercial está gestionando una oportunidad con una empresa del sector logístico interesada en implementar una solución SD-WAN para mejorar la conectividad entre sus sedes. Luego de una reunión inicial, el consultor carga en Salesforce toda la documentación requerida. Posteriormente, el ingeniero preventa revisa la documentación, valida la viabilidad técnica de la solución y confirma que se puede implementar según los requerimientos del cliente. Ahora debe actualizar el estado de la oportunidad en Salesforce para reflejar que la solución ha sido técnicamente aprobada. ¿Cuál es el estado correcto que el ingeniero preventa debe seleccionar en Salesforce?",3.0,Cerrada Ganada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta. Un consultor finaliza una visita con un cliente en la que se discutieron necesidades específicas de ciberseguridad. Durante la reunión, el cliente solicita una cotización inicial y el consultor se compromete a enviarla en los próximos días. Para dar seguimiento a este compromiso, el consultor debe registrar esta actividad en Salesforce. ¿En qué módulo de Salesforce debe registrar esta actividad?",1.0,Contactos.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta. Un consultor finaliza una visita con un cliente en la que se discutieron necesidades específicas de ciberseguridad. Durante la reunión, el cliente solicita una cotización inicial y el consultor se compromete a enviarla en los próximos días. Para dar seguimiento a este compromiso, el consultor debe registrar esta actividad en Salesforce. ¿En qué módulo de Salesforce debe registrar esta actividad?",2.0,Funnel.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
3,"Pregunta de opción múltiple con única respuesta. Un consultor finaliza una visita con un cliente en la que se discutieron necesidades específicas de ciberseguridad. Durante la reunión, el cliente solicita una cotización inicial y el consultor se compromete a enviarla en los próximos días. Para dar seguimiento a este compromiso, el consultor debe registrar esta actividad en Salesforce. ¿En qué módulo de Salesforce debe registrar esta actividad?",3.0,Tareas.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta. Un asesor comercial quiere revisar su desempeño mensual y validar si está cumpliendo con las metas de ventas asignadas. Para ello, accede a Salesforce en busca de un resumen de sus resultados frente a los objetivos establecidos. ¿En qué módulo de Salesforce debe consultar esta información?",1.0,Funnel.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta. Un asesor comercial quiere revisar su desempeño mensual y validar si está cumpliendo con las metas de ventas asignadas. Para ello, accede a Salesforce en busca de un resumen de sus resultados frente a los objetivos establecidos. ¿En qué módulo de Salesforce debe consultar esta información?",2.0,Forecast.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
4,"Pregunta de opción múltiple con única respuesta. Un asesor comercial quiere revisar su desempeño mensual y validar si está cumpliendo con las metas de ventas asignadas. Para ello, accede a Salesforce en busca de un resumen de sus resultados frente a los objetivos establecidos. ¿En qué módulo de Salesforce debe consultar esta información?",3.0,Clientes.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
5,"Pregunta de opción múltiple con única respuesta. Un asesor comercial desea tener una visión clara de cómo se distribuyen sus oportunidades de negocio proyectadas para los próximos meses, clasificadas por etapa del proceso de ventas. Para ello, accede a Salesforce en busca de una representación gráfica que le permita identificar cuántas oportunidades tiene en cada fase del embudo comercial. ¿Qué módulo o vista de Salesforce debe consultar para obtener esta información?",1.0,Chatter.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
5,"Pregunta de opción múltiple con única respuesta. Un asesor comercial desea tener una visión clara de cómo se distribuyen sus oportunidades de negocio proyectadas para los próximos meses, clasificadas por etapa del proceso de ventas. Para ello, accede a Salesforce en busca de una representación gráfica que le permita identificar cuántas oportunidades tiene en cada fase del embudo comercial. ¿Qué módulo o vista de Salesforce debe consultar para obtener esta información?",2.0,Forecast.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
5,"Pregunta de opción múltiple con única respuesta. Un asesor comercial desea tener una visión clara de cómo se distribuyen sus oportunidades de negocio proyectadas para los próximos meses, clasificadas por etapa del proceso de ventas. Para ello, accede a Salesforce en busca de una representación gráfica que le permita identificar cuántas oportunidades tiene en cada fase del embudo comercial. ¿Qué módulo o vista de Salesforce debe consultar para obtener esta información?",3.0,Funnel.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta. Eres un consultor de ventas y ya entregaste la propuesta comercial al cliente. Sin embargo, durante una nueva reunión, el cliente solicita realizar cambios importantes en la solución propuesta, lo que implica que el área de preventa debe volver a evaluar la factibilidad técnica. Para que este proceso se lleve a cabo correctamente dentro de Salesforce, ¿En qué estado deberías regresar la oportunidad?",1.0,Factibilizada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta. Eres un consultor de ventas y ya entregaste la propuesta comercial al cliente. Sin embargo, durante una nueva reunión, el cliente solicita realizar cambios importantes en la solución propuesta, lo que implica que el área de preventa debe volver a evaluar la factibilidad técnica. Para que este proceso se lleve a cabo correctamente dentro de Salesforce, ¿En qué estado deberías regresar la oportunidad?",2.0,Calificada.,VERDADERO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
6,"Pregunta de opción múltiple con única respuesta. Eres un consultor de ventas y ya entregaste la propuesta comercial al cliente. Sin embargo, durante una nueva reunión, el cliente solicita realizar cambios importantes en la solución propuesta, lo que implica que el área de preventa debe volver a evaluar la factibilidad técnica. Para que este proceso se lleve a cabo correctamente dentro de Salesforce, ¿En qué estado deberías regresar la oportunidad?",3.0,Cerrada – Ganada.,FALSO,Corporativo,Salesforce,Otros ingreso ,,Corporativo,Corporativo
